Time	TMin	TMax	Data[1]
4336	4180	4940	0
4320	4180	4940	0
4276	4180	4940	0
4464	4180	4940	0
4384	4180	4940	0
4288	4180	4940	0
4312	4180	4940	0
4400	4180	4940	0
4292	4180	4940	0
4292	4180	4940	0
4300	4180	4940	0
4324	4180	4940	0
4288	4180	4940	0
4404	4180	4940	0
4148	4148	4940	0
4272	4148	4940	0
4392	4148	4940	0
4340	4148	4940	0
4340	4148	4940	0
4780	4148	4940	0
4320	4148	4940	0
4276	4148	4940	0
4880	4148	4940	0
4228	4148	4940	0
4276	4148	4940	0
4860	4148	4940	0
4336	4148	4940	0
4288	4148	4940	0
4292	4148	4940	0
4544	4148	4940	0
4352	4148	4940	0
4272	4148	4940	0
4404	4148	4940	0
4368	4148	4940	0
4304	4148	4940	0
4296	4148	4940	0
4368	4148	4940	0
4276	4148	4940	0
4300	4148	4940	0
4380	4148	4940	0
4220	4148	4940	0
4276	4148	4940	0
4280	4148	4940	0
4228	4148	4940	0
4280	4148	4940	0
4312	4148	4940	0
4236	4148	4940	0
4288	4148	4940	0
4320	4148	4940	0
4296	4148	4940	0
4292	4148	4940	0
4400	4148	4940	0
4328	4148	4940	0
4336	4148	4940	0
4796	4148	4940	0
4308	4148	4940	0
4356	4148	4940	0
4768	4148	4940	0
4216	4148	4940	0
4288	4148	4940	0
4852	4148	4940	0
4332	4148	4940	0
4284	4148	4940	0
4876	4148	4940	0
4356	4148	4940	0
4364	4148	4940	0
4312	4148	4940	0
4400	4148	4940	0
4264	4148	4940	0
4280	4148	4940	0
4416	4148	4940	0
4368	4148	4940	0
4292	4148	4940	0
4260	4148	4940	0
4412	4148	4940	0
4268	4148	4940	0
4332	4148	4940	0
4320	4148	4940	0
4204	4148	4940	0
4296	4148	4940	0
4292	4148	4940	0
4220	4148	4940	0
4272	4148	4940	0
4320	4148	4940	0
4220	4148	4940	0
4288	4148	4940	0
4300	4148	4940	0
4224	4148	4940	0
4272	4148	4940	0
4316	4148	4940	0
4212	4148	4940	0
4292	4148	4940	0
4308	4148	4940	0
4220	4148	4940	0
4296	4148	4940	0
4308	4148	4940	0
4204	4148	4940	0
4304	4148	4940	0
4292	4148	4940	0
4204	4148	4940	0
4288	4148	4940	0
4340	4148	4940	0
4204	4148	4940	0
4292	4148	4940	0
4332	4148	4940	0
4212	4148	4940	0
4284	4148	4940	0
4292	4148	4940	0
4228	4148	4940	0
4268	4148	4940	0
4316	4148	4940	0
4208	4148	4940	0
4300	4148	4940	0
4312	4148	4940	0
4208	4148	4940	0
4300	4148	4940	0
4320	4148	4940	0
4288	4148	4940	0
4204	4148	4940	0
4300	4148	4940	0
4192	4148	4940	0
4304	4148	4940	0
4324	4148	4940	0
4216	4148	4940	0
4288	4148	4940	0
4300	4148	4940	0
4212	4148	4940	0
4372	4148	4940	0
4340	4148	4940	0
4220	4148	4940	0
4308	4148	4940	0
4336	4148	4940	0
4308	4148	4940	0
4316	4148	4940	0
4920	4148	4940	0
4308	4148	4940	0
4312	4148	4940	0
4288	4148	4940	0
4344	4148	4940	0
4376	4148	4940	0
4288	4148	4940	0
4396	4148	4940	0
4368	4148	4940	0
4304	4148	4940	0
4288	4148	4940	0
4364	4148	4940	0
4288	4148	4940	0
4324	4148	4940	0
4348	4148	4940	0
4200	4148	4940	0
4276	4148	4940	0
4320	4148	4940	0
4188	4148	4940	0
4300	4148	4940	0
4320	4148	4940	0
4208	4148	4940	0
4304	4148	4940	0
4312	4148	4940	0
4204	4148	4940	0
4288	4148	4940	0
4324	4148	4940	0
4196	4148	4940	0
4296	4148	4940	0
4292	4148	4940	0
4212	4148	4940	0
4300	4148	4940	0
4312	4148	4940	0
4208	4148	4940	0
4284	4148	4940	0
4304	4148	4940	0
4208	4148	4940	0
4296	4148	4940	0
4300	4148	4940	0
4212	4148	4940	0
4296	4148	4940	0
4296	4148	4940	0
4204	4148	4940	0
4308	4148	4940	0
4308	4148	4940	0
4228	4148	4940	0
4280	4148	4940	0
4328	4148	4940	0
4184	4148	4940	0
4284	4148	4940	0
4328	4148	4940	0
4204	4148	4940	0
4284	4148	4940	0
4300	4148	4940	0
4228	4148	4940	0
4288	4148	4940	0
4320	4148	4940	0
4204	4148	4940	0
4304	4148	4940	0
4316	4148	4940	0
4304	4148	4940	0
4296	4148	4940	0
4404	4148	4940	0
4324	4148	4940	0
4332	4148	4940	0
4876	4148	4940	0
4228	4148	4940	0
4284	4148	4940	0
4844	4148	4940	0
4208	4148	4940	0
4388	4148	4940	0
4892	4148	4940	0
4356	4148	4940	0
4324	4148	4940	0
4284	4148	4940	0
4456	4148	4940	0
4384	4148	4940	0
